sample_id,mse,ssim,psnr,pixcorr,fid,clip_similarity
53,0.4516493082046509,0.014270576896195068,9.472586565604267,0.15238366,0.0031139392,0.72558886
54,0.17824339866638184,0.40343255562741936,13.510465450622696,0.6731219,0.013906493,0.8941237
55,0.3421863913536072,0.0924149543706117,10.677972565525842,0.4190495,0.031202227,0.78607
56,0.26284438371658325,0.2672928474045672,11.823612640496231,0.5400028,0.025279861,0.83747596
57,0.24835476279258728,0.31422119228786755,12.06987516225926,0.5781582,0.020613952,0.8487448
58,0.31172293424606323,0.12880948102998852,11.08291245482908,0.49989867,0.03019959,0.807199
59,0.06462833285331726,0.6888736468963017,17.916370387266056,0.95241696,0.009245538,0.96695656
60,0.4326881766319275,0.04805049717304593,9.658849614951832,0.18567723,0.01185127,0.72663456
61,0.5847368836402893,-0.0030657203700748367,8.350995098967974,0.05772098,0.0008381611,0.67143846
62,0.23408305644989014,0.32090517056794177,12.326899887133557,0.6256803,0.026416486,0.8579655
63,0.16197815537452698,0.28900162110870997,13.926035153985392,0.6944674,0.014753632,0.9113544
64,0.21904811263084412,0.5065163643267654,12.615205067585268,0.7242826,0.0023817024,0.8727928
65,0.24658693373203278,0.13374254343557557,12.100899411614801,0.3527915,0.004048803,0.85429156
66,0.2136276811361313,0.17671437189839842,12.724024231253367,0.5296673,0.018319689,0.8750072
67,0.32348963618278503,0.03521650474388382,10.921996199360196,0.21902543,0.008494806,0.8134614
68,0.25551262497901917,0.24597643535153185,11.946476439509226,0.65741754,0.030760435,0.84511495
69,0.18099485337734222,0.24149687497584102,13.443937714353131,0.6460842,0.017420061,0.90159166
70,0.1310567408800125,0.5875887169196243,14.846005882760316,0.82599187,0.0033348016,0.9234096
71,0.13207818567752838,0.5876651082971048,14.812289079820545,0.82496023,0.0033013693,0.92292076
72,0.03713659942150116,0.8030231073460241,20.322578658091224,0.98443556,0.0070300335,0.99297965
73,0.38132569193840027,0.10322401673611915,10.207639198927929,0.38543814,0.02917356,0.7584352
74,0.16066516935825348,0.23621280764663508,13.961382587697553,0.61312526,0.013200539,0.91243774
75,0.19628684222698212,0.13778691416441577,13.091688139860889,0.403297,0.00947066,0.8893478
76,0.20699575543403625,0.19109503490502044,12.860985677728852,0.5588479,0.015651973,0.8821898
77,0.2757251560688019,0.18328857031318432,11.615835838692558,0.5996412,0.032279894,0.8330711
78,0.25751104950904846,0.19621033699363316,11.912641049577887,0.4602724,0.019866165,0.8434651
79,0.22514116764068604,0.15711683697027032,12.496050442261787,0.50909173,0.01746276,0.8694886
80,0.3816496431827545,0.08586397094539971,10.203951018241353,0.37062806,0.015378889,0.7636151
81,0.2167578786611557,0.4942954769529779,12.660851307215971,0.722873,0.0035714796,0.87315065
82,0.25458815693855286,0.20938153064223813,11.962217828397627,0.47945184,0.021246627,0.84753084
83,0.19800712168216705,0.13349830479844307,13.053791845848163,0.39894295,0.01210814,0.89092743
84,0.1994115114212036,0.5129583093101336,13.02309747305301,0.7461877,0.004773303,0.8836079
